Country,Year,Technology or Sector,Topic,Indicator,Indicator Categories,Unit,Value,Number of observations,updated_at
Spain,2010,Energy generation and distribution,Employment,Gender employment gap by education level,Less than upper secondary education,Percent,-78.63188171386719,691,1659539394367
Hungary,2018,Non-energy,Employment,Gender gap in hours worked by firm size,Medium,Percent,-2.7702739238739014,110567,1659539394367
Czech Republic,2018,Energy generation and distribution,Employment,Gender wage gap conditional on skills by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-19.050249099731445,21971,1659539394367
Poland,2014,Energy generation and distribution,Employment,Gender employment gap by firm size,Small,Percent,-67.04180145263672,1268,1659539394367
Slovak Republic,2014,Energy generation and distribution,Employment,Gender gap in hours worked by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-0.20589299499988556,8630,1659539394367
Denmark,2014,Total,Employment,Gender wage gap,,Percent,-10.069930076599121,561756,1659539394367
Portugal,2014,Non-energy,Employment,Gender wage gap conditional on skills by contract type,Permanent contract,Percent,-25.666959762573242,26235,1659539394367
Slovak Republic,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by firm size,Large,Percent,-23.704349517822266,1668,1659539394367
Slovak Republic,2018,Non-energy,Employment,Gender wage gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-25.08308982849121,183691,1659539394367
Norway,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-7.472014904022217,2338,1659539394367
Luxembourg,2018,Energy,Employment,Gender gap in hours worked by education level,Less than upper secondary education,Percent,-20.97661018371582,149,1659539394367
France,2018,Total,Employment,Gender wage gap by contract type,Permanent contract,Percent,-13.362859725952148,98404,1659539394367
Spain,2010,Energy,Employment,Gender wage gap by education level,Less than upper secondary education,Percent,-4.218448162078857,2002,1659539394367
Estonia,2018,Energy,Employment,Gender employment gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-65.61859130859375,1903,1659539394367
Italy,2018,Non-energy,Employment,Gender wage gap by education level,Tertiary education,Percent,-13.98978042602539,46540,1659539394367
Germany,2014,Non-energy,Employment,Gender employment gap by contract type,Temporary contract,Percent,27.92384910583496,65409,1659539394367
Latvia,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by education level,Tertiary education,Percent,-6.101377010345459,527,1659539394367
Luxembourg,2018,Important energy consumers,Employment,Gender employment gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-70.50949096679688,67,1659539394367
Canada,2014,Non-energy,Employment,Gender wage gap conditional on skills by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-15.330490112304688,149916,1659539394367
Canada,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by firm size,Small,Percent,-87.30635833740234,2804,1659539394367
United States,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-14.963109970092773,550,1659539394367
Latvia,2010,Energy,Employment,Gender gap in hours worked,,Percent,-2.5055060386657715,9089,1659539394367
France,2018,Energy,Employment,Gender gap in hours worked by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-2.495598077774048,5614,1659539394367
Lithuania,2018,Energy,Employment,Gender employment gap,,Percent,-75.17828369140625,1599,1659539394367
Greece,2014,Energy generation and distribution,Employment,Gender gap in hours worked by firm size,Medium,Percent,-0.3161020874977112,164,1659539394367
Portugal,2010,Total,Employment,Gender wage gap by education level,Upper secondary education,Percent,-27.24251937866211,12538,1659539394367
Lithuania,2010,Important energy consumers,Employment,Gender employment gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-22.031490325927734,381,1659539394367
Canada,2018,Energy,Employment,Gender wage gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-23.25670051574707,10343,1659539394367
Latvia,2018,Important energy consumers,Employment,Gender employment gap by education level,Tertiary education,Percent,-30.7968807220459,1379,1659539394367
Latvia,2010,Non-energy,Employment,Gender wage gap conditional on skills by education level,Tertiary education,Percent,-8.685368537902832,49057,1659539394367
Belgium,2014,Important energy consumers,Employment,Gender employment gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-59.645729064941406,360,1659539394367
Luxembourg,2018,Total,Employment,Gender wage gap by education level,Upper secondary education,Percent,-1.4867559671401978,7321,1659539394367
Canada,2010,Important energy consumers,Employment,Gender wage gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-0.8311975002288818,775,1659539394367
Portugal,2010,Energy generation and distribution,Employment,Gender wage gap conditional on skills by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-34.60116958618164,594,1659539394367
Romania,2014,Energy generation and distribution,Employment,Gender employment gap,,Percent,-64.85954284667969,4558,1659539394367
Slovak Republic,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by contract type,Temporary contract,Percent,-84.12259674072266,484,1659539394367
Latvia,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by contract type,Permanent contract,Percent,-2.165041923522949,801,1659539394367
Belgium,2010,Non-energy,Employment,Gender employment gap by contract type,Temporary contract,Percent,37.979888916015625,4812,1659539394367
Hungary,2018,Energy,Employment,Gender employment gap by contract type,Permanent contract,Percent,-76.16094207763672,7438,1659539394367
Italy,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by education level,Tertiary education,Percent,-25.370229721069336,238,1659539394367
Czech Republic,2010,Total,Employment,Gender employment gap by education level,Less than upper secondary education,Percent,13.735930442810059,94084,1659539394367
United States,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-19.513139724731445,57,1659539394367
Bulgaria,2018,Total,Employment,Gender wage gap conditional on skills by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-27.237079620361328,39085,1659539394367
Latvia,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by firm size,Small,Percent,4.552783012390137,280,1659539394367
Sweden,2010,Non-energy,Employment,Gender wage gap conditional on skills by firm size,Large,Percent,-17.079309463500977,101930,1659539394367
Slovak Republic,2018,Important energy consumers,Employment,Gender wage gap by firm size,Large,Percent,-8.901532173156738,17616,1659539394367
